name,type,address,phone,rating,hospital_id
LAKELAND COMMUNITY HOSPITAL,Acute Care Hospitals,42024 HIGHWAY 195 E,2054857117,5,HOSP_66
TROY REGIONAL MEDICAL CENTER,Acute Care Hospitals,1330 HIGHWAY 231 SOUTH,3346705000,3,HOSP_67
JACKSON MEDICAL CENTER,Acute Care Hospitals,220 HOSPITAL DRIVE,2512469021,3,HOSP_68
NORTH BALDWIN INFIRMARY,Acute Care Hospitals,1815 HAND AVENUE,2519375521,2,HOSP_69
ST VINCENT'S ST CLAIR,Acute Care Hospitals,7063 VETERANS PARKWAY,2053383301,3,HOSP_70
CRESTWOOD MEDICAL CENTER,Acute Care Hospitals,ONE HOSPITAL DR SE,2568823100,3,HOSP_71
HILL HOSPITAL OF SUMTER COUNTY,Acute Care Hospitals,751 DERBY DRIVE,2053925263,Not Available,HOSP_72
BROOKWOOD MEDICAL CENTER,Acute Care Hospitals,2010 BROOKWOOD MEDICAL CENTER DRIVE,2058771000,3,HOSP_73
SPRINGHILL MEMORIAL HOSPITAL,Acute Care Hospitals,3719 DAUPHIN STREET,2513449630,2,HOSP_74
RMC JACKSONVILLE,Acute Care Hospitals,1701 SOUTH PELHAM ROAD,2567824538,3,HOSP_75
EVERGREEN MEDICAL CENTER,Acute Care Hospitals,101 CRESTVIEW AVENUE,2515782480,3,HOSP_76
BAPTIST MEDICAL CENTER EAST,Acute Care Hospitals,400 TAYLOR ROAD,3342448330,5,HOSP_77
L V STABLER MEMORIAL HOSPITAL,Acute Care Hospitals,29 L V STABLER DRIVE,3343822200,3,HOSP_78
SHOALS HOSPITAL,Acute Care Hospitals,201 WEST AVALON AVENUE,2563861601,3,HOSP_79
RUSSELLVILLE HOSPITAL,Acute Care Hospitals,15155 HIGHWAY 43,2563321611,3,HOSP_80
COOSA VALLEY MEDICAL CENTER,Acute Care Hospitals,315 W HICKORY ST,2562495000,3,HOSP_81
JACK HUGHSTON MEMORIAL HOSPITAL,Acute Care Hospitals,4401 RIVER CHASE DRIVE,3347323000,4,HOSP_82
ATMORE COMMUNITY HOSPITAL,Acute Care Hospitals,401 MEDICAL PARK DRIVE,2513682500,4,HOSP_83
NORTH ALABAMA SPECIALITY HOSPITAL,Acute Care Hospitals,"700 WEST MARKET STREET, 2ND FLOOR",2562339292,Not Available,HOSP_84
WASHINGTON COUNTY HOSPITAL,Critical Access Hospitals,14600 ST. STEPHENS AVENUE,2518472223,Not Available,HOSP_85
RED BAY HOSPITAL,Critical Access Hospitals,211 HOSPITAL ROAD,2563569532,Not Available,HOSP_86
CHOCTAW GENERAL HOSPITAL,Critical Access Hospitals,"401 VANITY FAIR LANE, PO BOX 618",2054599100,Not Available,HOSP_87
ST VINCENTS BLOUNT,Critical Access Hospitals,150 GILBREATH DRIVE,2052743000,3,HOSP_88
CHILDREN'S HOSPITAL OF ALABAMA,Childrens,1600 SEVENTH AVENUE SOUTH,2059399100,Not Available,HOSP_89
UNIVERSITY OF S A CHILDREN'S AND WOMEN'S HOS,Childrens,1700 CENTER STREET,2514151000,Not Available,HOSP_90
PROVIDENCE ALASKA MEDICAL CENTER,Acute Care Hospitals,3200 PROVIDENCE DRIVE,9075622211,3,HOSP_91
MAT-SU REGIONAL MEDICAL CENTER,Acute Care Hospitals,2500 SOUTH WOODWORTH LOOP,9078616000,3,HOSP_92
BARTLETT REGIONAL HOSPITAL,Acute Care Hospitals,3260 HOSPITAL DR,9077968900,3,HOSP_93
FAIRBANKS MEMORIAL HOSPITAL,Acute Care Hospitals,1650 COWLES STREET,9074528181,3,HOSP_94
ALASKA REGIONAL HOSPITAL,Acute Care Hospitals,2801 DEBARR ROAD,9072761131,3,HOSP_95
YUKON KUSKOKWIM DELTA REG HOSPITAL,Acute Care Hospitals,PO BOX 287,9075436300,3,HOSP_96
ALASKA NATIVE MEDICAL CENTER,Acute Care Hospitals,4315 DIPLOMACY DR,9075632662,2,HOSP_97
SITKA COMMUNITY HOSPITAL,Critical Access Hospitals,209 MOLLER DRIVE,9077473241,Not Available,HOSP_98
PROVIDENCE KODIAK ISLAND MEDICAL CTR,Critical Access Hospitals,1915 EAST REZANOF DRIVE,9074869592,Not Available,HOSP_99
NORTON SOUND REGIONAL HOSPITAL,Critical Access Hospitals,1000 GREG KRUSCHEK AVENUE (P O BOX 966),9074433311,Not Available,HOSP_100
KANAKANAK HOSPITAL,Critical Access Hospitals,P O BOX 130,9078425201,Not Available,HOSP_101
MANIILAQ HEALTH CENTER,Critical Access Hospitals,PO BOX 43,9074423321,Not Available,HOSP_102
PEACEHEALTH KETCHIKAN MEDICAL CENTER,Critical Access Hospitals,3100 TONGASS AVENUE,9072255171,3,HOSP_103
MT EDGECUMBE HOSPITAL,Critical Access Hospitals,222 TONGASS DR,9079662411,Not Available,HOSP_104
ABRAZO MARYVALE CAMPUS,Acute Care Hospitals,5102 WEST CAMPBELL AVENUE,6238485000,2,HOSP_105
BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,Acute Care Hospitals,1111 EAST MCDOWELL ROAD,6022392000,3,HOSP_106
TUCSON MEDICAL CENTER,Acute Care Hospitals,5301 EAST GRANT ROAD,5203275461,3,HOSP_107
VERDE VALLEY MEDICAL CENTER,Acute Care Hospitals,269 SOUTH CANDY LANE,9286396058,4,HOSP_108
ST. MARY'S HOSPITAL,Acute Care Hospitals,1601 WEST ST MARY'S ROAD,5208723000,3,HOSP_109
ST JOSEPH'S HOSPITAL,Acute Care Hospitals,350 NORTH WILMOT ROAD,5208733000,3,HOSP_110
YAVAPAI REGIONAL MEDICAL CENTER,Acute Care Hospitals,1003 WILLOW CREEK ROAD,9284452700,2,HOSP_111
YUMA REGIONAL MEDICAL CENTER,Acute Care Hospitals,2400 SOUTH AVENUE A,9283367600,2,HOSP_112
JOHN C. LINCOLN MEDICAL CENTER,Acute Care Hospitals,250 EAST DUNLAP AVENUE,6023315862,3,HOSP_113
BANNER CASA GRANDE MEDICAL CENTER,Acute Care Hospitals,1800 EAST FLORENCE BOULEVARD,5203816300,2,HOSP_114
MARICOPA MEDICAL CENTER,Acute Care Hospitals,2601 EAST ROOSEVELT STREET,6023445011,2,HOSP_115
FLAGSTAFF MEDICAL CENTER,Acute Care Hospitals,1200 NORTH BEAVER STREET,9287793366,4,HOSP_116
ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,Acute Care Hospitals,350 WEST THOMAS ROAD,6024065001,3,HOSP_117
ABRAZO CENTRAL CAMPUS,Acute Care Hospitals,2000 WEST BETHANY HOME ROAD,6022490212,2,HOSP_118
BANNER PAYSON MEDICAL CENTER,Acute Care Hospitals,807 SOUTH PONDEROSA DRIVE,9284743222,3,HOSP_119
CHANDLER REGIONAL MEDICAL CENTER,Acute Care Hospitals,1955 WEST FRYE ROAD,4807283000,4,HOSP_120
ST LUKE'S MEDICAL CENTER,Acute Care Hospitals,1800 EAST VAN BUREN STREET,6022518156,3,HOSP_121
SCOTTSDALE OSBORN MEDICAL CENTER,Acute Care Hospitals,7400 EAST OSBORN ROAD,4808824004,3,HOSP_122
CANYON VISTA MEDICAL CENTER,Acute Care Hospitals,5700 EAST HIGHWAY 90,5204173001,1,HOSP_123
KINGMAN REGIONAL MEDICAL CENTER,Acute Care Hospitals,3269 STOCKTON HILL ROAD,9287572101,2,HOSP_124
BANNER BOSWELL MEDICAL CENTER,Acute Care Hospitals,10401 WEST THUNDERBIRD BOULEVARD,6238324000,4,HOSP_125
SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,Acute Care Hospitals,2200 EAST SHOW LOW LAKE ROAD,9285376399,4,HOSP_126
BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,Acute Care Hospitals,1501 NORTH CAMPBELL AVENUE,5208744189,1,HOSP_127
BANNER DESERT MEDICAL CENTER,Acute Care Hospitals,1400 SOUTH  DOBSON ROAD,4804123000,3,HOSP_128
MT. GRAHAM REGIONAL MEDICAL CENTER,Acute Care Hospitals,1600 SOUTH 20TH AVENUE,9283484000,3,HOSP_129
HAVASU REGIONAL MEDICAL CENTER,Acute Care Hospitals,101 CIVIC CENTER LANE,9288558185,2,HOSP_130
FORT DEFIANCE INDIAN HOSPITAL,Acute Care Hospitals,PO BOX 649,9287298000,Not Available,HOSP_131
TUBA CITY REGIONAL HEALTH CARE CORPORATION,Acute Care Hospitals,PO BOX 600,9282832501,3,HOSP_132
SELLS HOSPITAL,Acute Care Hospitals,"HIGHWAY 86, AT TOPAWA ROAD",5203627003,Not Available,HOSP_133
SAN CARLOS APACHE HEALTHCARE,Acute Care Hospitals,103 MEDICINE WAY ROAD,9284751200,Not Available,HOSP_134
PHOENIX INDIAN MEDICAL CENTER,Acute Care Hospitals,4212 NORTH 16TH STREET,6022631200,Not Available,HOSP_135
ABRAZO SCOTTSDALE CAMPUS,Acute Care Hospitals,3929 EAST BELL ROAD,6029235000,2,HOSP_136
CHINLE COMPREHENSIVE HEALTH CARE FACILITY,Acute Care Hospitals,"US HWY 191, HOSPITAL ROAD",9286747001,3,HOSP_137
NORTHWEST MEDICAL CENTER,Acute Care Hospitals,6200 NORTH LA CHOLLA BOULEVARD,5204698100,3,HOSP_138
SCOTTSDALE SHEA MEDICAL CENTER,Acute Care Hospitals,9003 EAST SHEA BOULEVARD,4803233000,3,HOSP_139
BANNER BAYWOOD MEDICAL CENTER,Acute Care Hospitals,6644 EAST BAYWOOD AVENUE,4806845898,4,HOSP_140
BANNER THUNDERBIRD MEDICAL CENTER,Acute Care Hospitals,5555 WEST THUNDERBIRD ROAD,4806845898,3,HOSP_141
HONORHEALTH DEER VALLEY MEDICAL CENTER,Acute Care Hospitals,19829 NORTH 27TH AVENUE,6238796100,3,HOSP_142
BANNER DEL E. WEBB MEDICAL CENTER,Acute Care Hospitals,14502 WEST MEEKER BOULEVARD,6235244000,4,HOSP_143
ABRAZO ARROWHEAD CAMPUS,Acute Care Hospitals,18701 NORTH 67TH AVENUE,6235611000,3,HOSP_144
WESTERN ARIZONA REGIONAL MEDICAL CENTER,Acute Care Hospitals,2735 SILVER CREEK ROAD,9287632273,2,HOSP_145
MAYO CLINIC HOSPITAL,Acute Care Hospitals,5777 EAST MAYO BOULEVARD,4803424201,5,HOSP_146
BANNER HEART HOSPITAL,Acute Care Hospitals,6750 EAST BAYWOOD AVENUE,4808545050,5,HOSP_147
ARIZONA SPINE AND JOINT HOSPITAL,Acute Care Hospitals,4620 EAST BASELINE ROAD,4808324770,Not Available,HOSP_148
"CORE INSTITUTE SPECIALTY HOSPITAL, THE",Acute Care Hospitals,6501 NORTH 19TH AVENUE,6027956020,Not Available,HOSP_149
ABRAZO WEST CAMPUS,Acute Care Hospitals,13677 WEST MCDOWELL ROAD,6238821515,2,HOSP_150
BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,Acute Care Hospitals,2800 EAST AJO WAY,5208742000,2,HOSP_151
ARIZONA SPECIALTY HOSPITAL,Acute Care Hospitals,"2905 WEST WARNER ROAD, SUITE 1",4806039000,Not Available,HOSP_152
WHITERIVER PHS INDIAN HOSPITAL,Acute Care Hospitals,200 WEST HOSPITAL DRIVE  (PO BOX 860),9283384911,Not Available,HOSP_153
ORO VALLEY HOSPITAL,Acute Care Hospitals,1551 EAST TANGERINE ROAD,5209013549,3,HOSP_154
BANNER ESTRELLA MEDICAL CENTER,Acute Care Hospitals,9201 WEST THOMAS ROAD,6233274000,4,HOSP_155
VALLEY VIEW MEDICAL CENTER,Acute Care Hospitals,5330 SOUTH HIGHWAY 95,9287887252,3,HOSP_156
MERCY GILBERT MEDICAL CENTER,Acute Care Hospitals,3555 SOUTH VAL VISTA DRIVE,4807288000,4,HOSP_157
GILBERT HOSPITAL,Acute Care Hospitals,5656 SOUTH POWER ROAD,4808403715,Not Available,HOSP_158
"MOUNTAIN VISTA MEDICAL CENTER, LP",Acute Care Hospitals,1301 SOUTH CRISMON ROAD,4803586100,1,HOSP_159
BANNER GATEWAY MEDICAL CENTER,Acute Care Hospitals,1900 NORTH HIGLEY ROAD,4805432000,3,HOSP_160
SCOTTSDALE THOMPSON PEAK MEDICAL CENTER,Acute Care Hospitals,7400 EAST THOMPSON PEAK PARKWAY,4803247004,4,HOSP_161
BANNER IRONWOOD MEDICAL CENTER,Acute Care Hospitals,37000 NORTH GANTZEL ROAD,4803944030,4,HOSP_162
O.A.S.I.S. HOSPITAL,Acute Care Hospitals,750 NORTH 40TH STREET,6027977700,Not Available,HOSP_163
"FLORENCE HOSPITAL AT ANTHEM, LLC",Acute Care Hospitals,4545 NORTH HUNT HIGHWAY,5204242060,3,HOSP_164
BANNER GOLDFIELD MEDICAL CENTER,Acute Care Hospitals,2050 WEST SOUTHERN AVENUE,4807333300,3,HOSP_165
DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,Acute Care Hospitals,7171 SOUTH 51ST AVENUE,6235845100,Not Available,HOSP_166
GREEN VALLEY HOSPITAL,Acute Care Hospitals,4455 SOUTH I-19 FRONTAGE ROAD,5203934710,Not Available,HOSP_167
WICKENBURG COMMUNITY HOSPITAL,Critical Access Hospitals,520 ROSE LANE,9286845421,3,HOSP_168
BENSON HOSPITAL,Critical Access Hospitals,450 SOUTH OCOTILLO AVENUE,5205862261,Not Available,HOSP_169
"NORTHERN COCHISE COMMUNITY HOSPITAL, INC.",Critical Access Hospitals,901 WEST REX ALLEN DRIVE,5203843541,Not Available,HOSP_170
PAGE HOSPITAL,Critical Access Hospitals,501 NORTH NAVAJO DRIVE,9286452424,Not Available,HOSP_171
HOPI HEALTH CARE CENTER,Critical Access Hospitals,"HIGHWAY 264, MILEPOST 388",9287376000,Not Available,HOSP_172
PARKER INDIAN HEALTH CENTER,Critical Access Hospitals,12033 AGENCY ROAD,9286692137,Not Available,HOSP_173
HUHU KAM MEMORIAL HOSPITAL,Critical Access Hospitals,483 WEST SEED FARM ROAD,5205623321,Not Available,HOSP_174
SAGE MEMORIAL HOSPITAL,Critical Access Hospitals,STATE ROUTE 264 SOUTH 191,9287554541,Not Available,HOSP_175
LITTLE COLORADO MEDICAL CENTER,Critical Access Hospitals,1501 NORTH WILLIAMSON AVENUE,9282894691,Not Available,HOSP_176
COPPER QUEEN COMMUNITY HOSPITAL,Critical Access Hospitals,101 COLE AVENUE,5204326401,Not Available,HOSP_177
HOLY CROSS HOSPITAL,Critical Access Hospitals,1171 WEST TARGET RANGE ROAD,5202853000,Not Available,HOSP_178
COBRE VALLEY REGIONAL MEDICAL CENTER,Critical Access Hospitals,5880 SOUTH HOSPITAL DRIVE,9284021122,3,HOSP_179
WHITE MOUNTAIN REGIONAL MEDICAL CENTER,Critical Access Hospitals,118 SOUTH MOUNTAIN AVENUE,9283334368,Not Available,HOSP_180
LA PAZ REGIONAL HOSPITAL,Critical Access Hospitals,1200 WEST MOHAVE ROAD,9286699201,3,HOSP_181
"LOS NINOS HOSPITAL, INC.",Childrens,2303 EAST THOMAS,6029547311,Not Available,HOSP_182
PHOENIX CHILDREN'S HOSPITAL,Childrens,1919 EAST THOMAS ROAD,6029331000,Not Available,HOSP_183
"HACIENDA CHILDREN'S HOSPITAL, INC.",Childrens,610 WEST JEROME AVENUE,6022434231,Not Available,HOSP_184
SILOAM SPRINGS REGIONAL HOSPITAL,Acute Care Hospitals,603 NORTH PROGRESS AVENUE,4795244141,3,HOSP_185
JOHNSON REGIONAL MEDICAL CENTER,Acute Care Hospitals,1100 EAST POPLAR STREET,4797545454,3,HOSP_186
WASHINGTON REGIONAL MEDICAL CENTER,Acute Care Hospitals,3215 N NORTH HILLS BOULEVARD,4794635113,3,HOSP_187
CHI-ST VINCENT INFIRMARY,Acute Care Hospitals,TWO ST VINCENT CIRCLE,5015523000,2,HOSP_188
MERCY HOSPITAL NORTHWEST ARKANSAS,Acute Care Hospitals,2710 SOUTH RIFE MEDICAL LANE,4793388000,4,HOSP_189
CHAMBERS MEMORIAL HOSPITAL,Acute Care Hospitals,719 DETROIT STREET,4794952241,3,HOSP_190
WHITE COUNTY MEDICAL CENTER,Acute Care Hospitals,3214 EAST RACE AVENUE,5012783100,3,HOSP_191
MENA REGIONAL HEALTH SYSTEM,Acute Care Hospitals,311 NORTH MORROW STREET,4793946100,3,HOSP_192
UAMS MEDICAL CENTER,Acute Care Hospitals,4301 WEST MARKHAM STREET MAIL SLOT 612,5016865000,1,HOSP_193
NORTH ARKANSAS REGIONAL MEDICAL CENTER,Acute Care Hospitals,620 NORTH MAIN STREET,8704144000,3,HOSP_194
SPARKS MEDICAL CENTER - VAN BUREN,Acute Care Hospitals,EAST MAIN AND SOUTH 20TH STREET,4794743401,3,HOSP_195
FORREST CITY MEDICAL CENTER,Acute Care Hospitals,1601 NEWCASTLE ROAD,8702610000,2,HOSP_196
ST BERNARDS MEDICAL CENTER,Acute Care Hospitals,225 E JACKSON,8709724100,1,HOSP_197
NORTHWEST MEDICAL CENTER-SPRINGDALE,Acute Care Hospitals,609 WEST MAPLE AVENUE,4797515711,3,HOSP_198
CHI ST. VINCENT HOSPITAL HOT SPRINGS,Acute Care Hospitals,300 WERNER STREET,5016221000,2,HOSP_199
BAXTER REGIONAL MEDICAL CENTER,Acute Care Hospitals,624 HOSPITAL DRIVE,8705081000,3,HOSP_200
CONWAY REGIONAL MEDICAL CENTER,Acute Care Hospitals,2302 COLLEGE AVENUE,5013293831,3,HOSP_201
BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,Acute Care Hospitals,3333 SPRINGHILL DRIVE,5012023000,3,HOSP_202
ARKANSAS METHODIST MEDICAL CENTER,Acute Care Hospitals,900 WEST KINGSHIGHWAY,8702397000,2,HOSP_203
ST MARYS REGIONAL MEDICAL CENTER,Acute Care Hospitals,1808 WEST MAIN STREET,4799682841,3,HOSP_204
FIVE RIVERS MEDICAL CENTER,Acute Care Hospitals,2801 MEDICAL CENTER DRIVE,8708926000,3,HOSP_205
OUACHITA COUNTY MEDICAL CENTER,Acute Care Hospitals,638 CALIFORNIA AVENUE,8708361000,4,HOSP_206
DREW MEMORIAL HOSPITAL,Acute Care Hospitals,778 SCOGIN DRIVE,8703672411,3,HOSP_207
SPARKS REGIONAL MEDICAL CENTER,Acute Care Hospitals,1001 TOWSON AVENUE,4794414000,2,HOSP_208
MERCY HOSPITAL FORT SMITH,Acute Care Hospitals,7301 ROGERS AVE,4793146000,3,HOSP_209
MAGNOLIA HOSPITAL,Acute Care Hospitals,101 HOSPITAL DRIVE,8702353000,2,HOSP_210
GREAT RIVER MEDICAL CENTER,Acute Care Hospitals,1520 N DIVISION STREET,8708387300,2,HOSP_211
JEFFERSON REGIONAL MEDICAL CENTER,Acute Care Hospitals,1600 WEST 40TH AVENUE,8705417100,2,HOSP_212
BAPTIST HEALTH MEDICAL CENTER-STUTTGART,Acute Care Hospitals,1703 NORTH BUERKLE ST,8706733511,4,HOSP_213
NORTH METRO MEDICAL CENTER,Acute Care Hospitals,1400 BRADEN STREET,5019857000,2,HOSP_214
BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,Acute Care Hospitals,1001 SCHNEIDER DRIVE,5013321000,3,HOSP_215
NATIONAL PARK MEDICAL CENTER,Acute Care Hospitals,1910 MALVERN AVENUE,5013211000,2,HOSP_216
SALINE MEMORIAL HOSPITAL,Acute Care Hospitals,#1 MEDICAL PARK DRIVE,5017766000,3,HOSP_217
HELENA REGIONAL MEDICAL CENTER,Acute Care Hospitals,1801 MARTIN LUTHER KING JR DRIVE,8703385800,2,HOSP_218
MEDICAL CENTER SOUTH ARKANSAS,Acute Care Hospitals,700 WEST GROVE STREET,8708632000,3,HOSP_219
BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,Acute Care Hospitals,"9601 INTERSTATE 630, EXIT 7",5012022000,3,HOSP_220
